SMILES,NSC#,"Activity (1 = active, 0 = inactive)",,,,
C1CC2(CCC13NC4=CC=CC5=C4C(=CC=C5)N3)NC6=CC=CC7=C6C(=CC=C7)N2,NSC97920,0,,,,
C1=CC2=C(C=CC=C2[As](=O)(O)O)C(=C1)N,NSC13785,0,,,,
C1=CC2(C3C1C(OC(=C3)C(=O)N)OC2=O)O,NSC357683,0,,,,
C1=CC=C2C=C(C=CC2=C1)C=C3C(=O)NC(=O)NC3=O,NSC95909,0,,,,
CC1C2CC2(CC1=O)C(C)C,NSC67392,0,,,,
C1CCC(CC1)NC2=NN=C(C(=C2Cl)Cl)Cl,NSC154127,0,,,,
C1=CC=C(C=C1)[As](=O)(C2=CC=C(C=C2)O)O,NSC41376,0,,,,
C1=CC2=C(NC=C2C=O)N=C1,NSC173969,0,,,,
COC1=C(C=C(C=C1)C=CC(=O)C2=C(C=C(C=C2OC)OC)OC)OC,NSC75527,0,,,,
CC(C)(CO)N1CCN(CC1)C(=S)NC2=CC=CC=C2,NSC87008,0,,,,
CC1CCCCN1CC2=CNC3=CC=CC=C32,NSC23225,0,,,,
C1C(=C(CS1)NC2=CC=CC=C2)C(=O)NC3=CC=CC=C3,NSC215275,0,,,,
CCC(C)(C1=CN=C(C(=O)N1O)CC(C)C)O,NSC127445,0,,,,
CC1=CC=C(C=C1)S(=O)(=O)NNC(=O)C23CCC(C2)CC3,NSC135184,0,,,,
CC(=NNC1=NC=NC2=C1NC=N2)C,NSC45641,0,,,,
CC(CC(C#N)(C1=CC=CC=C1)C2=CC=CC=C2)N3CCCCC3,NSC13176,1,,,,
COC1=CC(=CC(=C1O)OC)C(=O)C(=O)C2=CC(=C(C(=C2)OC)O)OC,NSC16736,0,,,,
COC1=C2CCC(OC2=C3C(=C1)OC4=CC(=O)C=C5C4=C3C=C(O5)C6=CC=CC=C6)C7=CC=CC=C7,NSC376248,0,,,,
CC1(CCC2=C(O1)C3=CC=CC=C3C(=O)C2=O)C,NSC26326,0,,,,
C1CC[N+]2(C(C1)CCCC2CO)[O-],NSC34552,0,,,,
C1=CSC(=C1)[As](=O)(C2=CC=CS2)O,NSC49847,0,,,,
CC1=NC=C(C=C1)C#CC(C)(C(C)(C)C)O,NSC220030,0,,,,
C1=CN(C=C1)CCC2=CC=NC=C2,NSC42774,0,,,,
C1=CC=C(C=C1)OP(=O)(C2=CC=CC=C2)OC3=CC=CC=C3,NSC25435,0,,,,
C1=CC=C(C=C1)C(CC(=NO)C2=CC=CC=C2)C(C#N)C3=CC=CC=C3,NSC186200,0,,,,
CCN1CCC(CC1)NC2=C3C=CC(=CC3=NC=C2)Cl,NSC13248,0,,,,
C1CCC(CC1)N2CC2CO,NSC44680,0,,,,
CN1C=NC2=NC=NN2C1=S,NSC145180,0,,,,
CC(=O)C1=C(C2=C(C=C1O)OC(C=C2)(C)C)OC,NSC36294,0,,,,
CCCC1=CC(=C(C(=C1)C(=O)N)OCC=C)CCC,NSC37955,0,,,,
CSC1=CC=CC(=C1)NC(=O)NC2=CC=CC=C2C(=O)N,NSC216623,0,,,,
CCNC(=S)NCC=C,NSC148304,0,,,,
C1=CC=C(C=C1)C#CC(C2=CC=CC=C2)(C3=CC=CC=C3)O,NSC52241,0,,,,
CC(=O)NCC(C1=CC=C(C=C1)[N+](=O)[O-])O,NSC89249,0,,,,
C1=CC=C2C(=C1)C=CC=C2C(=CC3=CC=NC=C3)C(=O)N,NSC144694,0,,,,
CN(C)CC1C2CCC(C2)C1O,NSC84200,0,,,,
CCOC(=O)C1=C(N(C(=C1C)C(=O)OCC)C)C,NSC17507,0,,,,
CC1=NC2=CC=CC=C2N=C1NS(=O)(=O)C3=CC=C(C=C3)N,NSC13156,0,,,,
C1=C(N=NS1)C2=C(N=NS2)C(=O)NN,NSC103775,0,,,,
CC(=CCC1=C(C2=CC=CC=C2C(=O)C1=O)O)CO,NSC24872,0,,,,
CCN(CCNC1=C(C)C(Cl)=C(CO)C=C1C)CC,NSC166375,0,,,,
C1=CC(=C(C=C1O)C=CNC=O)O,NSC650438,0,,,,
CC1=CC=CC=C1NC(=O)C(=O)NC2=CC=CC=C2C,NSC11023,0,,,,
CC1C(C(C(C(O1)OC2CCC3(C4CCC5(C(CCC5(C4CCC3=C2)O)C6=COC(=O)C=C6)C)C)O)O)O,NSC7521,0,,,,
CCOC(=O)CC1=CC(=O)C2=C(N1)C=CC(=C2)C,NSC109466,0,,,,
COC1=C(C2=C(C=C1)C3=C(CC4CCCN4C3)C5=CC(=C(C=C52)OC)OC)OC,NSC60387,0,,,,
COC1=CC=C(C=C1)N=NC2=C(N=C(C=C2)N)N,NSC78130,0,,,,
CN1C2=C(CCC2)SC1=O,NSC29851,0,,,,
C1=CC(=CN=C1)C(=O)OCC(COC(=O)C2=CN=CC=C2)O,NSC126226,0,,,,
CC1=C(C=C(C=C1)[N+](=O)[O-])NC(=O)NC2=CC=C(C=C2)S(=O)(=O)N,NSC146554,0,,,,
CC1CCOC(=O)C=CC=CC(=O)OC2CC3C4(C2(C5(CCC6(C(C5O3)O6)C)COC(=O)C1O)C)CO4,NSC283445,0,,,,
C1=CC=C(C(=C1)C2=NN=CO2)O,NSC100729,0,,,,
C1=CC=C2C(=C1)N=C(C(=NO)S2)C3=CC(=CC=C3)[N+](=O)[O-],NSC369070,0,,,,
CC1(C)N=C(N)N=C(N)N1C2=CC(Cl)=C(OCC3=CC(C(N(C)C)=O)=CC=C3)C=C2,NSC139105,0,,,,
C1=CC(=CC=C1C=CC2=NC(=C(C(=N2)Cl)C3=CC=C(C=C3)Cl)Cl)Cl,NSC154389,0,,,,
C1=CC2=C(C=C1O)OC3=CC(=O)C=CC3=N2,NSC12097,0,,,,
CCC1CN1P2(=O)OCC(CO2)(C)[N+](=O)[O-],NSC101777,0,,,,
CCOC(=O)NC1=C(N(C(=O)N(C1=O)C)C)Cl,NSC98049,0,,,,
CCOC1=NC(=NC2=C1C=NN2C)OCC,NSC19096,0,,,,
CCOC(=O)C1=CC(=NC2=C1C=C(C=C2)C)C3=CC=CC=C3,NSC34910,0,,,,
CC1CC(C(C(C=C(C(C(C=CC=C(C(=O)NC2=CC(=CC(=C2O)C1OC)O)C)C)OC(=O)N)C)C)OC)OC,NSC330500,0,,,,
C1CC2CCC1CN(C2)C(=O)C(Cl)Cl,NSC88998,0,,,,
C1=CC=C2C(=C1)NC(C3=CC=CN32)C4=C(C(=CC(=C4)Cl)Cl)O,NSC300540,0,,,,
C1=CC(=CC=C1C2=NC3=C(N=C(N=C3N=C2C4=CC=C(C=C4)N)N)N)N,NSC61642,1,,,,
C1=CC2=C(C(=C1)NC(=O)C=CC(=O)O)N=CC=C2,NSC144958,0,,,,
CC1=C(C(=O)NC(=S)N1)CC2=C(C=CC3=CC=CC=C32)O,NSC112547,0,,,,
CC(C)(C(=O)O)NC(=O)C1=C(C2=CC=CC=C2C(=C1)Cl)O,NSC270063,0,,,,
CCC1=NC(=C2C=NN(C2=N1)C3=CC=CC=C3)NC(C)(C)C,NSC11664,0,,,,
CN1CCC2=C3C1CC4=C(C3=CC=C2)C(=C(C=C4)OC)OC,NSC785153,0,,,,
CC1CC(C2C3(CCCC2(C14CCC5(O4)CCOC5=O)COC3=O)C)O,NSC250429,0,,,,
C1COCCN1CCCN2C3=C(N=C(C(=N3)Cl)Cl)N=C2C(F)(F)F,NSC166637,0,,,,
C1=CC(=CC=C1N=NC2=CC=C(C=C2)[As](=O)(O)O)O,NSC12650,0,,,,
C1=CC(=C(C=C1C(F)(F)F)NC(=O)CC(=NO)N)Cl,NSC379536,0,,,,
C1=CC=C(C=C1)C=C=NC(=O)C(=O)C=C=NC2=CC=CC=C2,NSC43308,0,,,,
COC1=CC=C(C=C1)C=CC(=O)C2=CC=CC=C2,NSC11866,0,,,,
CC1=CC(=C(C2=C1C(=O)OC3=C(O2)C4=C(C(=C3C)O)C(=O)OC4O)C=O)OC,NSC87511,0,,,,
C1=CC=C(C=C1)C2=NN=C3N2N=C(O3)C4=CC=CS4,NSC166596,0,,,,
C1=CC=C2C(=C1)N=C(S2)C3=C(C=C(C=C3)O)O,NSC33005,0,,,,
CCOC1=CC=C(C=C1)NC(=O)NC2=CC(=C(C=C2C)O)C(C)C,NSC33478,0,,,,
C1=CC=C2C(=C1)C3=CC=CC4=CN=CC2=C43,NSC60419,0,,,,
CCCCN1C(=CC(=NC1=S)C)OC(=S)N(CC)CC,NSC321517,0,,,,
CC(C)N1C=C(C(=N1)N)C#N,NSC123797,0,,,,
COC(=O)CC1(NC2=CC(=C(C=C2S(=O)(=O)N1O)Cl)Cl)C(=O)OC,NSC163639,0,,,,
C12=C(NC(=O)N1)N=C(N=C2Cl)Cl,NSC62665,0,,,,
C1=CC(=CC=C1C(=O)C2=CC=C(C=C2)O)C(=O)C3=CC=C(C=C3)O,NSC326757,0,,,,
C1=CC(=CC=C1C2N=C(N=C(N2C3=CC=C(C=C3)S(=O)(=O)N)N)N)Cl,NSC117268,0,,,,
C1=CC=C(C=C1)NC2=C(C=C(C=C2)N)S(=O)(=O)O,NSC15359,0,,,,
C1=CC=C2C(=C1)C(=O)N(C=N2)C3=CC=C(C=C3)Cl,NSC307703,0,,,,
CC1(C2=CC=CC=C2N(C1=CC=C3C=C(C(=O)C(=C3)I)I)C)C,NSC31762,0,,,,
C1=CN=CC=C1N2C3=C(C=NC=C3)N=N2,NSC162915,0,,,,
C1=CC(=C(C=C1Cl)Cl)C(=O)NC2=NSC=C2,NSC238929,0,,,,
CSC1=NC=C(C2=NC(NN21)C3=CC=C(C=C3)Cl)C#N,NSC379538,0,,,,
C1=CC(=CC=C1NC2=NC(=NC(=C2)N)N)Br,NSC42135,0,,,,
CC1=C(C=NC2=NN(C(=N)N12)C3=CC=CC=C3)O,NSC375997,0,,,,
CCOC(=O)C(=NO)C1=CSC2=NNC(N12)(C)C,NSC299968,0,,,,
CCOC(=O)C1=C(N=C(C(=C1C2=CN=CC=C2)C(=O)OCC)C)C,NSC283849,0,,,,
CSC1=CC=C(C=C1)NC(=O)NC2=CC=CC=C2C(=O)N,NSC205827,0,,,,
CC1=CC(=O)C2=C(N1)NNC2=O,NSC163158,0,,,,
CC1=CC(=NC2=C1C=CC(=N2)OC)C,NSC119969,0,,,,
CC1=NC(=C(C(=O)N1)CC2=CC=CC=C2O)C3=CC=CC=C3,NSC112541,0,,,,
C1=CC=C2C(=C1)C3=C(N2)C4=CC=CC=C4S3,NSC605333,0,,,,
CC(=O)NC1(CCCC1)C(=O)O,NSC22847,0,,,,
CC(=CCCC(=CC(=O)N)C)C,NSC108655,0,,,,
C1=CC2=C(C=CC3=C2N=CN3)C=C1O,NSC62129,0,,,,
CC1C2=C(C(=C(C(=C2)C)C)C#N)NC=N1,NSC303244,0,,,,
CCCCCCCCCCC(C(=O)O)C1(CCC(=O)O1)C(=O)O,NSC244387,0,,,,
O=C1C(OC2=C(O)C=C3)C4(CCN5CC6=COC=C6)C2=C3CC5C4(O)CC1,NSC292253,0,,,,
CC(C)C1=CC=C(C(=O)C=C1)O,NSC18805,0,,,,
CC1CC(C=C(CCC=C(CC(C2CC1OC(=O)C2=C)O)C)C)O,NSC210236,0,,,,
CC1=C(C=C(C=C1)NC(=O)N2CCCCC2)NC(=O)N3CCCCC3,NSC375982,0,,,,
CNCC(C1=CC(=C(C=C1)O)O)O,NSC62786,0,,,,
CN1CCC2=CC3=C(OCO3)C=C2C(CC4=C(C5=C(OCO5)C=C4)C1)=O,NSC11440,0,,,,
CCCNC(=O)NC1=C(C=C(C=C1)C)C,NSC164511,0,,,,
C=CCC1=CC=CC=C1OCC(=O)O,NSC60239,0,,,,
C1CC(CCC1=O)(C2=CC=CC=C2)C3=CC=CC=C3,NSC117554,0,,,,
C1=CC=C(C(=C1)C2=NC(=NC(=N2)N)N)C3=NC(=NC(=N3)N)N,NSC4429,0,,,,
CSC1=NC(=C(S1)C(=O)NC2CCCCC2)N,NSC294747,0,,,,
COC1=CC=C(C=C1)OC(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])OC,NSC215684,0,,,,
CC1(CC(=C(C(=O)C1)CC(=O)C2=CC=CC=C2)NN=C(N)N)C,NSC282137,0,,,,
C1=CC=C(C=C1)OCCOC2=CC=C(C=C2)C(=O)O,NSC120631,0,,,,
C1=CC=C(C=C1)N2C3=C(C=CC=N3)C=N2,NSC127458,0,,,,
C1CCCC2(CC1)NC(=S)N(N2)C3=CC=CC=C3,NSC328130,0,,,,
CC(CCC(=O)O)C1CCC2(C1(CC(=O)C3C2C(=O)CC4C3(CCC(C4(C)C)O)C)C)C,NSC1614,0,,,,
COC1=CC(=CC(=C1OC)OC)C2C3C(CC4=C(C5=C(C=C24)OCO5)O)COC3=O,NSC24819,0,,,,
COC1=CC=CC(=C1)C2=NN=C(O2)N,NSC83339,0,,,,
C1C(=O)N(C2=C(C=C(C=C2)Cl)C(=N1)C3=CC=CC=N3)CC(=O)O,NSC157725,0,,,,
C1C2C=C(C(N1CC3=CC=CC=C3)C4C2C(=O)N(C4=O)C5=CC=CC=C5)C#N,NSC118818,0,,,,
C1=CC(=C(N=C1)OC2=CC(=C(C=C2Cl)Cl)Cl)[N+](=O)[O-],NSC146071,0,,,,
CC(=O)NC1=CC=C(C=C1)OC(=O)OC2=CC=C(C=C2)NC(=O)C,NSC105798,0,,,,
CCCOC1=CC=C(C=C1)C2=NC(=CS2)C3=CC=C(C=C3)N,NSC281624,0,,,,
CC1=C(C=CC(=N1)C(=O)O)OC,NSC134580,0,,,,
CCOC(=O)C(=CC1=CNC2=CC=CC=C21)C#N,NSC10091,0,,,,
CC1CCOC(C=CC=CC(=O)OC2CC3C4(C2(C5(CC(C6(C(C5O3)O6)C)O)COC(=O)C1O)C)CO4)C(C)O,NSC327993,0,,,,
C1=CC=C2C(=C1)N=CC(=N2)CC#N,NSC155196,0,,,,
CC(CCC(=O)OC)C1CCC2(C1(CC(=O)C3C2C(=O)CC4C3(CCC(C4(C)C)OC(=O)C)C)C)C,NSC34202,0,,,,
C1=C(C=C(C(=C1O)O)O)C(=O)O,NSC20103,0,,,,
CN1C(=O)N(C(=O)C(=N1)SCC2=CC=CC=C2)C(C3=CC=CC=C3)C4=CC=CC=C4,NSC107701,0,,,,
C1CCC(C1)CC2NC3=CC(=C(C=C3S(=O)(=O)N2)S(=O)(=O)N)Cl,NSC107679,0,,,,
CN1CCC(CC1)(C#N)C2=CC(=CC(=C2)OC)OC,NSC21333,0,,,,
COC1=CC=CC=C1C2C(=O)C3=C(O2)NC4=C(N3)C=CC(=C4)[N+](=O)[O-],NSC372287,0,,,,
COC1=C(C2=CC=CC=C2C(=C1)N=NC3=CC(=CC=C3)S(=O)(=O)N)N,NSC65537,0,,,,
C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)CCC(=O)O,NSC38743,0,,,,
C1=CC(=C(C2=C1C(=O)C3=C(C2=O)C=CC(=C3Cl)N)Cl)N,NSC60013,0,,,,
CCOC(=O)NC1=CSN=N1,NSC78609,0,,,,
CC1CC(CC(C1=O)C(CC2CC(=O)NC(=O)C2)O)(C)OC(=O)C,NSC32743,0,,,,
C1CN(CCN1CC(COC2=CC=C(C=C2)Cl)O)C3=CC(=CC=C3)Cl,NSC91340,0,,,,
CCN(CC)CCN1C2=CC=CC=C2SC3=C1C4=CC=CC=C4C=C3,NSC18883,1,,,,
C1=CC=C2C=C(C=CC2=C1)NC(=O)C3=CC(=CC=C3)F,NSC214029,0,,,,
CC1CCCC(C1)(CC(=O)O)CC(=O)O,NSC3001,0,,,,
C1=CC(=C(C=C1NC(=O)CN2C=CC(=O)NC2=O)O)C(=O)O,NSC93033,0,,,,
CC1CN=C(C2=CC=CC=C12)C,NSC272275,0,,,,
C1CC2(C3=CC=CC=C31)C(=O)NC(=O)N2,NSC32838,0,,,,
CC(C)(NC1=NCCNC(C2=CC=CC=C2)=C1)C,NSC339630,0,,,,
C1=CC=C2C(=C1)N=C(S2)NC(=O)NC3=CC(=C(C=C3)Cl)[N+](=O)[O-],NSC329249,0,,,,
C1=CC=C(C=C1)C2=CC(=O)C3=CC=CC=C3O2,NSC19028,0,,,,
CC(=CC1C2=C(CC3N1C(=O)C4CCCN4C3=O)C5=C(N2)C=C(C=C5)OC)C,NSC719655,0,,,,
